SoftBank Group Corp,20180910,3412,90,678
SoftBank Group Corp,20180911,5763,19,587
SoftBank Group Corp,20180912,5979,14,682
SoftBank Group Corp,20180913,6324,14,928
SoftBank Group Corp,20180914,5567,21,818
SoftBank Group Corp,20180915,5467,6,835
SoftBank Group Corp,20180916,2708,7,356
SoftBank Group Corp,20180917,4192,13,389
SoftBank Group Corp,20180918,6518,11,798
SoftBank Group Corp,20180919,5599,309,819
SoftBank Group Corp,20180920,4879,279,861
SoftBank Group Corp,20180921,4923,256,1001
SoftBank Group Corp,20180922,8713,32,1025
SoftBank Group Corp,20180923,7280,64,706
SoftBank Group Corp,20180924,5061,24,802
SoftBank Group Corp,20180925,5257,20,876
SoftBank Group Corp,20180926,5585,55,973
SoftBank Group Corp,20180927,5357,67,1060
SoftBank Group Corp,20180928,5490,31,865
SoftBank Group Corp,20180929,2778,97,557
SoftBank Group Corp,20180930,4667,53,508
SoftBank Group Corp,20181001,3815,30,655
SoftBank Group Corp,20181002,5364,41,969
SoftBank Group Corp,20181003,5283,53,853
SoftBank Group Corp,20181004,5367,271,900
SoftBank Group Corp,20181005,5907,194,990
SoftBank Group Corp,20181006,5567,26,884
SoftBank Group Corp,20181007,3900,17,607
SoftBank Group Corp,20181008,4147,34,634
SoftBank Group Corp,20181009,4322,33,571
SoftBank Group Corp,20181010,7755,38,927
SoftBank Group Corp,20181011,7510,134,1511
SoftBank Group Corp,20181012,7481,59,876
SoftBank Group Corp,20181013,7188,21,898
SoftBank Group Corp,20181014,5016,25,684
SoftBank Group Corp,20181015,4808,40,866
SoftBank Group Corp,20181016,6962,29,806
SoftBank Group Corp,20181017,8276,65,1112
SoftBank Group Corp,20181018,6851,54,1055
SoftBank Group Corp,20181019,8231,25,1036
SoftBank Group Corp,20181020,7605,10,841
SoftBank Group Corp,20181021,5269,19,546
SoftBank Group Corp,20181022,4630,34,596
SoftBank Group Corp,20181023,7003,40,942
SoftBank Group Corp,20181024,7025,43,985
SoftBank Group Corp,20181025,8163,20,1277
SoftBank Group Corp,20181026,9668,275,1490
SoftBank Group Corp,20181027,7677,23,909
SoftBank Group Corp,20181028,6459,28,792
SoftBank Group Corp,20181029,6688,37,628
SoftBank Group Corp,20181030,6904,33,1056
SoftBank Group Corp,20181031,7657,27,1008
SoftBank Group Corp,20181101,7601,45,1367
SoftBank Group Corp,20181102,8234,53,1524
SoftBank Group Corp,20181103,8250,34,911
SoftBank Group Corp,20181104,7082,14,686
